example_id                                        | status | run_time        |
------------------------------------------------- | ------ | --------------- |
./spec/requests/cars_spec.rb[1:1:1]               | passed | 0.24959 seconds |
./spec/requests/cars_spec.rb[1:1:2:1]             | passed | 0.1281 seconds  |
./spec/requests/cars_spec.rb[1:1:2:2]             | passed | 0.1018 seconds  |
./spec/requests/cars_spec.rb[1:1:2:3]             | passed | 0.08223 seconds |
./spec/requests/cars_spec.rb[1:1:2:4]             | passed | 0.08625 seconds |
./spec/requests/cars_spec.rb[1:2:1]               | passed | 0.79789 seconds |
./spec/requests/cars_spec.rb[1:3:1:1]             | passed | 0.04459 seconds |
./spec/requests/cars_spec.rb[1:3:1:2]             | passed | 0.04333 seconds |
./spec/requests/cars_spec.rb[1:3:1:3]             | passed | 0.31266 seconds |
./spec/requests/cars_spec.rb[1:4:1]               | passed | 0.08076 seconds |
./spec/requests/cars_spec.rb[1:4:2]               | passed | 0.54885 seconds |
./spec/requests/cars_spec.rb[1:5:1:1]             | passed | 0.19028 seconds |
./spec/requests/cars_spec.rb[1:5:1:2]             | passed | 0.06255 seconds |
./spec/requests/cars_spec.rb[1:5:1:3]             | passed | 0.33186 seconds |
./spec/requests/cars_spec.rb[1:6:1]               | passed | 0.06562 seconds |
./spec/requests/cars_spec.rb[1:6:2]               | passed | 0.04685 seconds |
./spec/services/car_service_spec.rb[1:1:1]        | passed | 0.76841 seconds |
./spec/services/car_service_spec.rb[1:1:2]        | passed | 0.05069 seconds |
./spec/services/car_service_spec.rb[1:1:3]        | passed | 0.30506 seconds |
./spec/services/car_service_spec.rb[1:2:1]        | passed | 0.04605 seconds |
./spec/services/car_service_spec.rb[1:2:2]        | passed | 0.30569 seconds |
./spec/services/car_service_spec.rb[1:3:1]        | passed | 0.04404 seconds |
./spec/services/car_service_spec.rb[1:4:1]        | passed | 0.06015 seconds |
./spec/services/car_service_spec.rb[1:4:2]        | passed | 0.05451 seconds |
./spec/services/car_service_spec.rb[1:4:3]        | passed | 0.07676 seconds |
./spec/services/car_service_spec.rb[1:4:4]        | passed | 0.05335 seconds |
./spec/services/car_service_spec.rb[1:4:5]        | passed | 0.06164 seconds |
./spec/services/car_service_spec.rb[1:4:6]        | passed | 0.05812 seconds |
./spec/services/export_pdf_service_spec.rb[1:1:1] | passed | 0.71507 seconds |
./spec/services/export_pdf_service_spec.rb[1:1:2] | passed | 0.05805 seconds |
